date_key,full_date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend
20240704,2024-07-04,2024.0,3.0,7.0,July,4.0,4.0,Thursday,False
20240705,2024-07-05,2024.0,3.0,7.0,July,5.0,5.0,Friday,False
20240706,2024-07-06,2024.0,3.0,7.0,July,6.0,6.0,Saturday,True
20240707,2024-07-07,2024.0,3.0,7.0,July,7.0,7.0,Sunday,True
20240708,2024-07-08,2024.0,3.0,7.0,July,8.0,1.0,Monday,False
20240709,2024-07-09,2024.0,3.0,7.0,July,9.0,2.0,Tuesday,False
20240710,2024-07-10,2024.0,3.0,7.0,July,10.0,3.0,Wednesday,False
20240711,2024-07-11,2024.0,3.0,7.0,July,11.0,4.0,Thursday,False
20240712,2024-07-12,2024.0,3.0,7.0,July,12.0,5.0,Friday,False
20240713,2024-07-13,2024.0,3.0,7.0,July,13.0,6.0,Saturday,True
20240714,2024-07-14,2024.0,3.0,7.0,July,14.0,7.0,Sunday,True
20240715,2024-07-15,2024.0,3.0,7.0,July,15.0,1.0,Monday,False
20240716,2024-07-16,2024.0,3.0,7.0,July,16.0,2.0,Tuesday,False
20240717,2024-07-17,2024.0,3.0,7.0,July,17.0,3.0,Wednesday,False
20240718,2024-07-18,2024.0,3.0,7.0,July,18.0,4.0,Thursday,False
20240719,2024-07-19,2024.0,3.0,7.0,July,19.0,5.0,Friday,False
20240720,2024-07-20,2024.0,3.0,7.0,July,20.0,6.0,Saturday,True
20240721,2024-07-21,2024.0,3.0,7.0,July,21.0,7.0,Sunday,True
20240722,2024-07-22,2024.0,3.0,7.0,July,22.0,1.0,Monday,False
20240723,2024-07-23,2024.0,3.0,7.0,July,23.0,2.0,Tuesday,False
20240724,2024-07-24,2024.0,3.0,7.0,July,24.0,3.0,Wednesday,False
20240725,2024-07-25,2024.0,3.0,7.0,July,25.0,4.0,Thursday,False
20240726,2024-07-26,2024.0,3.0,7.0,July,26.0,5.0,Friday,False
20240727,2024-07-27,2024.0,3.0,7.0,July,27.0,6.0,Saturday,True
20240728,2024-07-28,2024.0,3.0,7.0,July,28.0,7.0,Sunday,True
20240729,2024-07-29,2024.0,3.0,7.0,July,29.0,1.0,Monday,False
20240730,2024-07-30,2024.0,3.0,7.0,July,30.0,2.0,Tuesday,False
20240731,2024-07-31,2024.0,3.0,7.0,July,31.0,3.0,Wednesday,False
20240801,2024-08-01,2024.0,3.0,8.0,August,1.0,4.0,Thursday,False
20240802,2024-08-02,2024.0,3.0,8.0,August,2.0,5.0,Friday,False
20240803,2024-08-03,2024.0,3.0,8.0,August,3.0,6.0,Saturday,True
20240804,2024-08-04,2024.0,3.0,8.0,August,4.0,7.0,Sunday,True
20240805,2024-08-05,2024.0,3.0,8.0,August,5.0,1.0,Monday,False
20240806,2024-08-06,2024.0,3.0,8.0,August,6.0,2.0,Tuesday,False
20240807,2024-08-07,2024.0,3.0,8.0,August,7.0,3.0,Wednesday,False
20240808,2024-08-08,2024.0,3.0,8.0,August,8.0,4.0,Thursday,False
20240809,2024-08-09,2024.0,3.0,8.0,August,9.0,5.0,Friday,False
20240810,2024-08-10,2024.0,3.0,8.0,August,10.0,6.0,Saturday,True
20240811,2024-08-11,2024.0,3.0,8.0,August,11.0,7.0,Sunday,True
20240812,2024-08-12,2024.0,3.0,8.0,August,12.0,1.0,Monday,False
20240813,2024-08-13,2024.0,3.0,8.0,August,13.0,2.0,Tuesday,False
20240814,2024-08-14,2024.0,3.0,8.0,August,14.0,3.0,Wednesday,False
20240815,2024-08-15,2024.0,3.0,8.0,August,15.0,4.0,Thursday,False
20240816,2024-08-16,2024.0,3.0,8.0,August,16.0,5.0,Friday,False
20240817,2024-08-17,2024.0,3.0,8.0,August,17.0,6.0,Saturday,True
20240818,2024-08-18,2024.0,3.0,8.0,August,18.0,7.0,Sunday,True
20240819,2024-08-19,2024.0,3.0,8.0,August,19.0,1.0,Monday,False
20240820,2024-08-20,2024.0,3.0,8.0,August,20.0,2.0,Tuesday,False
20240821,2024-08-21,2024.0,3.0,8.0,August,21.0,3.0,Wednesday,False
20240822,2024-08-22,2024.0,3.0,8.0,August,22.0,4.0,Thursday,False
20240823,2024-08-23,2024.0,3.0,8.0,August,23.0,5.0,Friday,False
20240824,2024-08-24,2024.0,3.0,8.0,August,24.0,6.0,Saturday,True
20240825,2024-08-25,2024.0,3.0,8.0,August,25.0,7.0,Sunday,True
20240826,2024-08-26,2024.0,3.0,8.0,August,26.0,1.0,Monday,False
20240827,2024-08-27,2024.0,3.0,8.0,August,27.0,2.0,Tuesday,False
20240828,2024-08-28,2024.0,3.0,8.0,August,28.0,3.0,Wednesday,False
20240829,2024-08-29,2024.0,3.0,8.0,August,29.0,4.0,Thursday,False
20240830,2024-08-30,2024.0,3.0,8.0,August,30.0,5.0,Friday,False
20240831,2024-08-31,2024.0,3.0,8.0,August,31.0,6.0,Saturday,True
20240901,2024-09-01,2024.0,3.0,9.0,September,1.0,7.0,Sunday,True
20240902,2024-09-02,2024.0,3.0,9.0,September,2.0,1.0,Monday,False
20240903,2024-09-03,2024.0,3.0,9.0,September,3.0,2.0,Tuesday,False
20240904,2024-09-04,2024.0,3.0,9.0,September,4.0,3.0,Wednesday,False
20240905,2024-09-05,2024.0,3.0,9.0,September,5.0,4.0,Thursday,False
20240906,2024-09-06,2024.0,3.0,9.0,September,6.0,5.0,Friday,False
20240907,2024-09-07,2024.0,3.0,9.0,September,7.0,6.0,Saturday,True
20240908,2024-09-08,2024.0,3.0,9.0,September,8.0,7.0,Sunday,True
20240909,2024-09-09,2024.0,3.0,9.0,September,9.0,1.0,Monday,False
20240910,2024-09-10,2024.0,3.0,9.0,September,10.0,2.0,Tuesday,False
20240911,2024-09-11,2024.0,3.0,9.0,September,11.0,3.0,Wednesday,False
20240912,2024-09-12,2024.0,3.0,9.0,September,12.0,4.0,Thursday,False
20240913,2024-09-13,2024.0,3.0,9.0,September,13.0,5.0,Friday,False
20240914,2024-09-14,2024.0,3.0,9.0,September,14.0,6.0,Saturday,True
20240915,2024-09-15,2024.0,3.0,9.0,September,15.0,7.0,Sunday,True
20240916,2024-09-16,2024.0,3.0,9.0,September,16.0,1.0,Monday,False
20240917,2024-09-17,2024.0,3.0,9.0,September,17.0,2.0,Tuesday,False
20240918,2024-09-18,2024.0,3.0,9.0,September,18.0,3.0,Wednesday,False
20240919,2024-09-19,2024.0,3.0,9.0,September,19.0,4.0,Thursday,False
20240920,2024-09-20,2024.0,3.0,9.0,September,20.0,5.0,Friday,False
20240921,2024-09-21,2024.0,3.0,9.0,September,21.0,6.0,Saturday,True
20240922,2024-09-22,2024.0,3.0,9.0,September,22.0,7.0,Sunday,True
20240923,2024-09-23,2024.0,3.0,9.0,September,23.0,1.0,Monday,False
20240924,2024-09-24,2024.0,3.0,9.0,September,24.0,2.0,Tuesday,False
20240925,2024-09-25,2024.0,3.0,9.0,September,25.0,3.0,Wednesday,False
20240926,2024-09-26,2024.0,3.0,9.0,September,26.0,4.0,Thursday,False
20240927,2024-09-27,2024.0,3.0,9.0,September,27.0,5.0,Friday,False
20240928,2024-09-28,2024.0,3.0,9.0,September,28.0,6.0,Saturday,True
20240929,2024-09-29,2024.0,3.0,9.0,September,29.0,7.0,Sunday,True
20240930,2024-09-30,2024.0,3.0,9.0,September,30.0,1.0,Monday,False
20241001,2024-10-01,2024.0,4.0,10.0,October,1.0,2.0,Tuesday,False
20241002,2024-10-02,2024.0,4.0,10.0,October,2.0,3.0,Wednesday,False
20241003,2024-10-03,2024.0,4.0,10.0,October,3.0,4.0,Thursday,False
20241004,2024-10-04,2024.0,4.0,10.0,October,4.0,5.0,Friday,False
20241005,2024-10-05,2024.0,4.0,10.0,October,5.0,6.0,Saturday,True
20241006,2024-10-06,2024.0,4.0,10.0,October,6.0,7.0,Sunday,True
20241007,2024-10-07,2024.0,4.0,10.0,October,7.0,1.0,Monday,False
20241008,2024-10-08,2024.0,4.0,10.0,October,8.0,2.0,Tuesday,False
20241009,2024-10-09,2024.0,4.0,10.0,October,9.0,3.0,Wednesday,False
20241010,2024-10-10,2024.0,4.0,10.0,October,10.0,4.0,Thursday,False
20241011,2024-10-11,2024.0,4.0,10.0,October,11.0,5.0,Friday,False
20241012,2024-10-12,2024.0,4.0,10.0,October,12.0,6.0,Saturday,True
20241013,2024-10-13,2024.0,4.0,10.0,October,13.0,7.0,Sunday,True
20241014,2024-10-14,2024.0,4.0,10.0,October,14.0,1.0,Monday,False
20241015,2024-10-15,2024.0,4.0,10.0,October,15.0,2.0,Tuesday,False
20241016,2024-10-16,2024.0,4.0,10.0,October,16.0,3.0,Wednesday,False
20241017,2024-10-17,2024.0,4.0,10.0,October,17.0,4.0,Thursday,False
20241018,2024-10-18,2024.0,4.0,10.0,October,18.0,5.0,Friday,False
20241019,2024-10-19,2024.0,4.0,10.0,October,19.0,6.0,Saturday,True
20241020,2024-10-20,2024.0,4.0,10.0,October,20.0,7.0,Sunday,True
20241021,2024-10-21,2024.0,4.0,10.0,October,21.0,1.0,Monday,False
20241022,2024-10-22,2024.0,4.0,10.0,October,22.0,2.0,Tuesday,False
20241023,2024-10-23,2024.0,4.0,10.0,October,23.0,3.0,Wednesday,False
20241024,2024-10-24,2024.0,4.0,10.0,October,24.0,4.0,Thursday,False
20241025,2024-10-25,2024.0,4.0,10.0,October,25.0,5.0,Friday,False
20241026,2024-10-26,2024.0,4.0,10.0,October,26.0,6.0,Saturday,True
20241027,2024-10-27,2024.0,4.0,10.0,October,27.0,7.0,Sunday,True
20241028,2024-10-28,2024.0,4.0,10.0,October,28.0,1.0,Monday,False
20241029,2024-10-29,2024.0,4.0,10.0,October,29.0,2.0,Tuesday,False
20241030,2024-10-30,2024.0,4.0,10.0,October,30.0,3.0,Wednesday,False
20241031,2024-10-31,2024.0,4.0,10.0,October,31.0,4.0,Thursday,False
20241101,2024-11-01,2024.0,4.0,11.0,November,1.0,5.0,Friday,False
20241102,2024-11-02,2024.0,4.0,11.0,November,2.0,6.0,Saturday,True
20241103,2024-11-03,2024.0,4.0,11.0,November,3.0,7.0,Sunday,True
20241104,2024-11-04,2024.0,4.0,11.0,November,4.0,1.0,Monday,False
20241105,2024-11-05,2024.0,4.0,11.0,November,5.0,2.0,Tuesday,False
20241106,2024-11-06,2024.0,4.0,11.0,November,6.0,3.0,Wednesday,False
20241107,2024-11-07,2024.0,4.0,11.0,November,7.0,4.0,Thursday,False
20241108,2024-11-08,2024.0,4.0,11.0,November,8.0,5.0,Friday,False
20241109,2024-11-09,2024.0,4.0,11.0,November,9.0,6.0,Saturday,True
20241110,2024-11-10,2024.0,4.0,11.0,November,10.0,7.0,Sunday,True
20241111,2024-11-11,2024.0,4.0,11.0,November,11.0,1.0,Monday,False
20241112,2024-11-12,2024.0,4.0,11.0,November,12.0,2.0,Tuesday,False
20241113,2024-11-13,2024.0,4.0,11.0,November,13.0,3.0,Wednesday,False
20241114,2024-11-14,2024.0,4.0,11.0,November,14.0,4.0,Thursday,False
20241115,2024-11-15,2024.0,4.0,11.0,November,15.0,5.0,Friday,False
20241116,2024-11-16,2024.0,4.0,11.0,November,16.0,6.0,Saturday,True
20241117,2024-11-17,2024.0,4.0,11.0,November,17.0,7.0,Sunday,True
20241118,2024-11-18,2024.0,4.0,11.0,November,18.0,1.0,Monday,False
20241119,2024-11-19,2024.0,4.0,11.0,November,19.0,2.0,Tuesday,False
20241120,2024-11-20,2024.0,4.0,11.0,November,20.0,3.0,Wednesday,False
20241121,2024-11-21,2024.0,4.0,11.0,November,21.0,4.0,Thursday,False
20241122,2024-11-22,2024.0,4.0,11.0,November,22.0,5.0,Friday,False
20241123,2024-11-23,2024.0,4.0,11.0,November,23.0,6.0,Saturday,True
20241124,2024-11-24,2024.0,4.0,11.0,November,24.0,7.0,Sunday,True
20241125,2024-11-25,2024.0,4.0,11.0,November,25.0,1.0,Monday,False
20241126,2024-11-26,2024.0,4.0,11.0,November,26.0,2.0,Tuesday,False
20241127,2024-11-27,2024.0,4.0,11.0,November,27.0,3.0,Wednesday,False
20241128,2024-11-28,2024.0,4.0,11.0,November,28.0,4.0,Thursday,False
20241129,2024-11-29,2024.0,4.0,11.0,November,29.0,5.0,Friday,False
20241130,2024-11-30,2024.0,4.0,11.0,November,30.0,6.0,Saturday,True
20241201,2024-12-01,2024.0,4.0,12.0,December,1.0,7.0,Sunday,True
20241202,2024-12-02,2024.0,4.0,12.0,December,2.0,1.0,Monday,False
20241203,2024-12-03,2024.0,4.0,12.0,December,3.0,2.0,Tuesday,False
20241204,2024-12-04,2024.0,4.0,12.0,December,4.0,3.0,Wednesday,False
20241205,2024-12-05,2024.0,4.0,12.0,December,5.0,4.0,Thursday,False
20241206,2024-12-06,2024.0,4.0,12.0,December,6.0,5.0,Friday,False
20241207,2024-12-07,2024.0,4.0,12.0,December,7.0,6.0,Saturday,True
20241208,2024-12-08,2024.0,4.0,12.0,December,8.0,7.0,Sunday,True
20241209,2024-12-09,2024.0,4.0,12.0,December,9.0,1.0,Monday,False
20241210,2024-12-10,2024.0,4.0,12.0,December,10.0,2.0,Tuesday,False
20241211,2024-12-11,2024.0,4.0,12.0,December,11.0,3.0,Wednesday,False
20241212,2024-12-12,2024.0,4.0,12.0,December,12.0,4.0,Thursday,False
20241213,2024-12-13,2024.0,4.0,12.0,December,13.0,5.0,Friday,False
20241214,2024-12-14,2024.0,4.0,12.0,December,14.0,6.0,Saturday,True
20241215,2024-12-15,2024.0,4.0,12.0,December,15.0,7.0,Sunday,True
20241216,2024-12-16,2024.0,4.0,12.0,December,16.0,1.0,Monday,False
20241217,2024-12-17,2024.0,4.0,12.0,December,17.0,2.0,Tuesday,False
20241218,2024-12-18,2024.0,4.0,12.0,December,18.0,3.0,Wednesday,False
20241219,2024-12-19,2024.0,4.0,12.0,December,19.0,4.0,Thursday,False
20241220,2024-12-20,2024.0,4.0,12.0,December,20.0,5.0,Friday,False
20241221,2024-12-21,2024.0,4.0,12.0,December,21.0,6.0,Saturday,True
20241222,2024-12-22,2024.0,4.0,12.0,December,22.0,7.0,Sunday,True
20241223,2024-12-23,2024.0,4.0,12.0,December,23.0,1.0,Monday,False
20241224,2024-12-24,2024.0,4.0,12.0,December,24.0,2.0,Tuesday,False
20241225,2024-12-25,2024.0,4.0,12.0,December,25.0,3.0,Wednesday,False
20241226,2024-12-26,2024.0,4.0,12.0,December,26.0,4.0,Thursday,False
20241227,2024-12-27,2024.0,4.0,12.0,December,27.0,5.0,Friday,False
20241228,2024-12-28,2024.0,4.0,12.0,December,28.0,6.0,Saturday,True
20241229,2024-12-29,2024.0,4.0,12.0,December,29.0,7.0,Sunday,True
20241230,2024-12-30,2024.0,4.0,12.0,December,30.0,1.0,Monday,False
