promotion_key,promotion_id,campaign_name,promo_type,discount_value,min_order_value,start_date,end_date,campaign_duration_days,target_segment,campaign_channel,campaign_objective,target_category,expected_response_rate,budget_allocated,cost_per_acquisition
1,1,Cross_Sell_Fixed_Amount_1,Fixed_Amount,86.29,,2025-03-03,2025-02-13,18.0,Medium_Value,Social,Cross_Sell,Unknown,0.117,31654.2,48.03
2,2,Reactivation_Percentage_Discount_2,Percentage_Discount,,24.66,2024-07-29,2024-09-05,38.0,Medium_Value,Social,Reactivation,Unknown,0.091,49169.82,25.67
3,3,Acquisition_BOGO_3,BOGO,0.0,92.54,2024-07-29,2024-08-19,21.0,Medium_Value,SMS,Acquisition,Home,0.241,35889.11,28.1
4,4,Reactivation_Percentage_Discount_4,Percentage_Discount,41.6,85.76,2025-06-06,2025-07-11,35.0,Low_Value,Website_Banner,Reactivation,Unknown,0.214,11973.4,33.1
5,5,Retention_Fixed_Amount_5,Fixed_Amount,16.55,0.0,2025-04-06,2025-04-25,19.0,Lapsed,Email,Retention,Unknown,0.17,9236.54,39.82
6,6,Acquisition_BOGO_6,BOGO,0.0,18.42,2025-03-04,2025-03-20,16.0,High_Value,Push,Acquisition,Unknown,0.086,21303.04,23.08
7,7,Retention_Percentage_Discount_7,Percentage_Discount,14.3,24.08,2024-10-30,2024-11-20,21.0,High_Value,Email,Retention,Home,0.186,24577.81,45.94
8,8,Cross_Sell_Free_Shipping_8,Free_Shipping,0.0,67.03,2024-08-27,2024-09-07,11.0,New_Customer,SMS,Cross_Sell,Unknown,0.088,21719.17,28.24
9,9,Acquisition_BOGO_9,BOGO,0.0,0.0,2025-04-20,2025-05-20,30.0,Low_Value,Email,Acquisition,Sports,0.059,11103.46,24.68
10,10,Upsell_Percentage_Discount_10,Percentage_Discount,10.4,71.58,2025-08-24,2025-08-09,15.0,Medium_Value,Social,Upsell,Electronics,0.235,6661.58,44.55
11,11,Reactivation_Free_Shipping_11,Free_Shipping,0.0,20.08,2025-06-27,2025-08-13,47.0,Low_Value,Website_Banner,Reactivation,Unknown,0.07,22533.28,38.8
12,12,Acquisition_BOGO_12,BOGO,0.0,14.01,2024-08-03,2024-09-11,39.0,Low_Value,In_App,Acquisition,Clothing,0.059,1148.11,12.03
13,13,Acquisition_Percentage_Discount_13,Percentage_Discount,43.1,86.05,2024-09-06,2024-09-26,20.0,Low_Value,SMS,Acquisition,Home,0.225,29445.68,9.93
14,14,Retention_Fixed_Amount_14,Fixed_Amount,5.74,14.53,2025-03-24,2025-04-02,9.0,All_Customers,Website_Banner,Retention,Unknown,0.16,26121.37,23.48
15,15,Reactivation_Percentage_Discount_15,Percentage_Discount,20.7,23.41,2024-12-14,2025-02-09,57.0,High_Value,Push,Reactivation,Unknown,0.236,12534.48,22.73
16,16,Retention_BOGO_16,BOGO,0.0,27.49,2025-06-11,2025-06-17,6.0,New_Customer,In_App,Retention,Beauty,0.078,9797.02,25.3
17,17,Upsell_Free_Shipping_17,Free_Shipping,0.0,0.0,2024-10-08,2024-10-19,11.0,Low_Value,In_App,Upsell,Unknown,0.107,26418.79,37.96
18,18,Acquisition_BOGO_18,BOGO,0.0,5.98,2025-03-30,2025-05-18,49.0,All_Customers,Website_Banner,Acquisition,Unknown,0.076,26929.89,11.12
19,19,Upsell_Fixed_Amount_19,Fixed_Amount,61.24,0.0,2024-08-23,2024-09-05,13.0,Lapsed,Social,Upsell,Beauty,0.206,16491.99,45.86
20,20,Reactivation_Free_Shipping_20,Free_Shipping,0.0,75.47,2025-04-24,2025-05-19,25.0,Low_Value,Push,Reactivation,Unknown,0.185,14737.63,22.4
21,21,Cross_Sell_Fixed_Amount_21,Fixed_Amount,94.41,21.09,2025-07-15,2025-07-30,15.0,Lapsed,Social,Cross_Sell,Unknown,0.053,6746.57,12.78
22,22,Upsell_Percentage_Discount_22,Percentage_Discount,9.4,89.68,2024-10-13,2024-09-27,16.0,Medium_Value,Email,Upsell,Sports,0.175,4319.59,28.25
23,23,Cross_Sell_Free_Shipping_23,Free_Shipping,0.0,0.0,2025-05-20,2025-05-27,7.0,Medium_Value,SMS,Cross_Sell,Unknown,0.175,10522.37,39.89
24,24,Reactivation_BOGO_24,BOGO,0.0,45.9,2025-02-15,2025-03-31,44.0,New_Customer,Website_Banner,Reactivation,Unknown,0.09,28716.68,11.64
