order_id,customer_key,promotion_key,order_date_key,order_date,order_status,order_channel,order_value,attributed_to_promo,customer_segment_at_time
1963,1811,2,20240903,2024-09-03,PAID,Social,97.55,True,Medium_Value
9323,1668,2,20240817,2024-08-17,CANCEL,Social,223.66,True,Medium_Value
4910,1659,2,20240814,2024-08-14,PAID,Direct,285.6,True,Medium_Value
8988,1268,2,20240809,2024-08-09,PAID,Social,185.53,True,Medium_Value
14665,911,2,20240828,2024-08-28,PAID,Social,169.43,True,Medium_Value
2922,512,2,20240816,2024-08-16,PAID,Social,268.41,True,Medium_Value
12455,348,2,20240812,2024-08-12,PAID,Social,211.74,True,Medium_Value
11322,237,2,20240815,2024-08-15,PAID,Social,258.5,True,Medium_Value
7516,202,2,20240806,2024-08-06,PAID,Social,163.51,True,Medium_Value
14725,96,2,20240810,2024-08-10,PAID,Social,283.64,True,Medium_Value
9808,1206,3,20240817,2024-08-17,PAID,Direct,241.33,True,Medium_Value
9125,1075,3,20240813,2024-08-13,PAID,Social,154.21,True,Medium_Value
2284,744,3,20240729,2024-07-29,PAID,Push,206.93,True,Medium_Value
9057,1068,7,20241118,2024-11-18,PAID,Email,285.87,True,High_Value
12932,1894,9,20250421,2025-04-21,PAID,Email,81.34,True,Low_Value
11972,929,9,20250427,2025-04-27,PAID,Email,81.71,True,Low_Value
11977,653,9,20250424,2025-04-24,PAID,Email,118.71,True,Low_Value
6560,1274,12,20240824,2024-08-24,PAID,Email,44.81,True,Low_Value
17,1229,12,20240902,2024-09-02,CANCEL,SMS,61.77,True,Low_Value
3935,1137,12,20240809,2024-08-09,PAID,Direct,78.47,True,Low_Value
8277,1109,12,20240829,2024-08-29,PAID,Direct,105.19,True,Low_Value
12801,648,12,20240803,2024-08-03,PAID,SMS,67.16,True,Low_Value
2387,1903,13,20240913,2024-09-13,CANCEL,Direct,68.46,True,Low_Value
14465,1655,13,20240910,2024-09-10,PAID,Social,88.96,True,Low_Value
4615,1372,13,20240918,2024-09-18,PAID,Social,43.84,True,Low_Value
8416,1255,13,20240912,2024-09-12,PAID,SMS,35.65,True,Low_Value
13543,1086,13,20240920,2024-09-20,PAID,SMS,106.35,True,Low_Value
5157,521,13,20240914,2024-09-14,PAID,Email,112.27,True,Low_Value
13260,521,13,20240914,2024-09-14,PAID,SMS,146.12,True,Low_Value
3358,1904,14,20250325,2025-03-25,PAID,Email,228.6,True,Medium_Value
11006,1141,15,20250105,2025-01-05,PAID,Push,275.08,True,High_Value
3303,424,15,20250105,2025-01-05,PAID,Direct,326.17,True,High_Value
13705,36,15,20241225,2024-12-25,PAID,Push,312.06,True,High_Value
10418,1548,17,20241012,2024-10-12,PAID,Direct,63.89,True,Low_Value
2880,1524,17,20241011,2024-10-11,PAID,Social,126.21,True,Low_Value
3472,831,17,20241012,2024-10-12,PAID,Push,73.01,True,Low_Value
13251,1973,18,20250427,2025-04-27,PAID,Social,69.59,True,New_Customer
239,1936,18,20250412,2025-04-12,PAID,Push,46.45,True,Low_Value
14037,1500,18,20250502,2025-05-02,CANCEL,Push,185.25,True,New_Customer
10508,1488,18,20250508,2025-05-08,PAID,Direct,115.48,True,Low_Value
10180,1375,18,20250422,2025-04-22,PAID,SMS,67.21,True,New_Customer
14645,1188,18,20250401,2025-04-01,CANCEL,Direct,582.86,True,High_Value
1225,965,18,20250405,2025-04-05,CANCEL,SMS,415.03,True,High_Value
14468,697,18,20250406,2025-04-06,PAID,Push,82.48,True,Low_Value
10818,666,18,20250514,2025-05-14,PAID,Push,354.57,True,High_Value
10503,322,18,20250413,2025-04-13,PAID,Direct,118.25,True,Medium_Value
11995,175,18,20250430,2025-04-30,PAID,SMS,59.3,True,Low_Value
7945,146,18,20250402,2025-04-02,PAID,Email,526.3,True,High_Value
9193,141,18,20250413,2025-04-13,PAID,SMS,149.38,True,New_Customer
