promotion_id,campaign_name,promo_type,discount_value,min_order_value,start_date,end_date,campaign_duration_days,target_segment,campaign_channel,campaign_objective,target_category,expected_response_rate,total_orders,total_customers,total_revenue,total_items_sold,avg_order_value,attributed_orders,attributed_revenue,budget_allocated,cost_per_acquisition,estimated_cpa,revenue_per_budget,campaign_status,invalid_date_range_flag,negative_discount_flag,invalid_expected_response_rate_flag,invalid_budget_flag
1,Cross_Sell_Fixed_Amount_1,Fixed_Amount,86.29,,2025-03-03,2025-02-13,18,Medium_Value,Social,Cross_Sell,Unknown,0.117,0,0,0.0,0,,0,0.0,31654.2,48.03,,0.0,Completed,True,False,False,False
2,Reactivation_Percentage_Discount_2,Percentage_Discount,,24.66,2024-07-29,2024-09-05,38,Medium_Value,Social,Reactivation,Unknown,0.091,9,9,1923.91,35,213.76777777777778,9,1923.91,49169.82,25.67,5463.31,0.0391,Completed,False,True,False,False
3,Acquisition_BOGO_3,BOGO,0.0,92.54,2024-07-29,2024-08-19,21,Medium_Value,SMS,Acquisition,Home,0.241,3,3,602.47,14,200.82333333333332,3,602.47,35889.11,28.1,11963.04,0.0168,Completed,False,False,False,False
4,Reactivation_Percentage_Discount_4,Percentage_Discount,41.6,85.76,2025-06-06,2025-07-11,35,Low_Value,Website_Banner,Reactivation,Unknown,0.214,0,0,0.0,0,,0,0.0,11973.4,33.1,,0.0,Completed,False,False,False,False
5,Retention_Fixed_Amount_5,Fixed_Amount,16.55,0.0,2025-04-06,2025-04-25,19,Lapsed,Email,Retention,Unknown,0.17,0,0,0.0,0,,0,0.0,9236.54,39.82,,0.0,Completed,False,False,False,False
6,Acquisition_BOGO_6,BOGO,0.0,18.42,2025-03-04,2025-03-20,16,High_Value,Push,Acquisition,Unknown,0.086,0,0,0.0,0,,0,0.0,21303.04,23.08,,0.0,Completed,False,False,False,False
7,Retention_Percentage_Discount_7,Percentage_Discount,14.3,24.08,2024-10-30,2024-11-20,21,High_Value,Email,Retention,Home,0.186,1,1,285.87,9,285.87,1,285.87,24577.81,45.94,24577.81,0.0116,Completed,False,False,False,False
8,Cross_Sell_Free_Shipping_8,Free_Shipping,0.0,67.03,2024-08-27,2024-09-07,11,New_Customer,SMS,Cross_Sell,Unknown,0.088,0,0,0.0,0,,0,0.0,21719.17,28.24,,0.0,Completed,False,False,False,False
9,Acquisition_BOGO_9,BOGO,0.0,0.0,2025-04-20,2025-05-20,30,Low_Value,Email,Acquisition,Sports,0.059,3,3,281.76,23,93.92,3,281.76,11103.46,24.68,3701.15,0.0254,Completed,False,False,False,False
10,Upsell_Percentage_Discount_10,Percentage_Discount,10.4,71.58,2025-08-24,2025-08-09,15,Medium_Value,Social,Upsell,Electronics,0.235,0,0,0.0,0,,0,0.0,6661.58,44.55,,0.0,Completed,True,False,False,False
