order_item_id,order_id,product_id,product_category,quantity,unit_price,item_revenue,line_total,promotion_id,attributed_to_promo,invalid_quantity_flag,invalid_unit_price_flag,promo_attributed_without_promotion_id_flag,invalid_promotion_reference_flag
1,2728,896,Books,1.0,12.47,12.47,12.47,,False,False,False,False,False
2,1329,947,Electronics,2.0,57.78,115.56,115.56,,False,False,False,False,False
3,6858,851,Electronics,3.0,332.0,996.0,996.0,,False,False,False,False,False
4,4844,578,Beauty,1.0,64.18,64.18,64.18,,False,False,False,False,False
5,7058,597,Electronics,3.0,373.3,1119.9,1119.9,,False,False,False,False,False
6,4642,120,Clothing,3.0,81.99,245.97,245.97,557.0,True,False,False,False,False
7,4220,98,Clothing,2.0,137.09,274.18,274.18,,False,False,False,False,False
8,14128,619,Books,3.0,26.67,80.01,80.01,1499.0,True,False,False,False,False
9,932,888,Home,3.0,277.24,831.72,831.72,,False,False,False,False,False
10,2774,33,Sports,1.0,78.81,78.81,78.81,181.0,True,False,False,False,False
11,2667,919,Home,3.0,223.25,669.75,669.75,,False,False,False,False,False
12,7525,5,Beauty,2.0,54.25,108.5,108.5,,False,False,False,False,False
13,9570,519,Books,1.0,30.49,30.49,30.49,,False,False,False,False,False
14,11728,430,Home,1.0,186.63,186.63,186.63,,False,False,False,False,False
15,7587,283,Home,3.0,135.85,407.55,407.55,,False,False,False,False,False
16,10792,558,Electronics,3.0,334.72,1004.16,1004.16,,False,False,False,False,False
17,4290,456,Beauty,3.0,17.31,51.93,51.93,,False,False,False,False,False
18,10578,872,Clothing,3.0,196.42,589.26,589.26,,False,False,False,False,False
19,8541,97,Beauty,2.0,28.22,56.44,56.44,1325.0,True,False,False,False,False
20,10490,251,Clothing,1.0,40.23,40.23,40.23,,False,False,False,False,False
21,7147,267,Home,1.0,101.58,101.58,101.58,,False,False,False,False,False
22,1214,730,Books,3.0,35.24,105.72,105.72,,False,False,False,False,False
23,14369,429,Sports,3.0,170.07,510.21,510.21,,False,False,False,False,False
24,478,819,Home,1.0,237.98,237.98,237.98,,False,False,False,False,False
25,863,762,Home,1.0,113.04,113.04,113.04,,False,False,False,False,False
26,6448,890,Books,2.0,20.15,40.3,40.3,,False,False,False,False,False
27,2389,864,Home,1.0,148.11,148.11,148.11,,False,False,False,False,False
28,7408,7,Electronics,2.0,419.59,839.18,839.18,,False,False,False,False,False
29,6880,264,Beauty,1.0,130.85,130.85,130.85,,False,False,False,False,False
30,11407,737,Clothing,1.0,47.06,47.06,47.06,,False,False,False,False,False
31,10991,417,Beauty,1.0,78.13,78.13,78.13,,False,False,False,False,False
32,11546,126,Beauty,1.0,105.57,105.57,105.57,,False,False,False,False,False
33,14542,475,Clothing,2.0,138.63,277.26,277.26,,False,False,False,False,False
