promotion_id,campaign_name,promo_type,discount_value,min_order_value,start_date,end_date,campaign_duration_days,target_segment,campaign_channel,campaign_objective,target_category,expected_response_rate,budget_allocated,cost_per_acquisition,invalid_date_range_flag,negative_discount_flag,invalid_expected_response_rate_flag,invalid_budget_flag,is_valid_date_range
1,Cross_Sell_Fixed_Amount_1,Fixed_Amount,86.29,,2025-03-03,2025-02-13,18,Medium_Value,Social,Cross_Sell,Unknown,0.117,31654.2,48.03,True,False,False,False,False
2,Reactivation_Percentage_Discount_2,Percentage_Discount,,24.66,2024-07-29,2024-09-05,38,Medium_Value,Social,Reactivation,Unknown,0.091,49169.82,25.67,False,True,False,False,True
3,Acquisition_BOGO_3,BOGO,0.0,92.54,2024-07-29,2024-08-19,21,Medium_Value,SMS,Acquisition,Home,0.241,35889.11,28.1,False,False,False,False,True
4,Reactivation_Percentage_Discount_4,Percentage_Discount,41.6,85.76,2025-06-06,2025-07-11,35,Low_Value,Website_Banner,Reactivation,Unknown,0.214,11973.4,33.1,False,False,False,False,True
5,Retention_Fixed_Amount_5,Fixed_Amount,16.55,0.0,2025-04-06,2025-04-25,19,Lapsed,Email,Retention,Unknown,0.17,9236.54,39.82,False,False,False,False,True
6,Acquisition_BOGO_6,BOGO,0.0,18.42,2025-03-04,2025-03-20,16,High_Value,Push,Acquisition,Unknown,0.086,21303.04,23.08,False,False,False,False,True
7,Retention_Percentage_Discount_7,Percentage_Discount,14.3,24.08,2024-10-30,2024-11-20,21,High_Value,Email,Retention,Home,0.186,24577.81,45.94,False,False,False,False,True
8,Cross_Sell_Free_Shipping_8,Free_Shipping,0.0,67.03,2024-08-27,2024-09-07,11,New_Customer,SMS,Cross_Sell,Unknown,0.088,21719.17,28.24,False,False,False,False,True
9,Acquisition_BOGO_9,BOGO,0.0,0.0,2025-04-20,2025-05-20,30,Low_Value,Email,Acquisition,Sports,0.059,11103.46,24.68,False,False,False,False,True
10,Upsell_Percentage_Discount_10,Percentage_Discount,10.4,71.58,2025-08-24,2025-08-09,15,Medium_Value,Social,Upsell,Electronics,0.235,6661.58,44.55,True,False,False,False,False
11,Reactivation_Free_Shipping_11,Free_Shipping,0.0,20.08,2025-06-27,2025-08-13,47,Low_Value,Website_Banner,Reactivation,Unknown,0.07,22533.28,38.8,False,False,False,False,True
12,Acquisition_BOGO_12,BOGO,0.0,14.01,2024-08-03,2024-09-11,39,Low_Value,In_App,Acquisition,Clothing,0.059,1148.11,12.03,False,False,False,False,True
13,Acquisition_Percentage_Discount_13,Percentage_Discount,43.1,86.05,2024-09-06,2024-09-26,20,Low_Value,SMS,Acquisition,Home,0.225,29445.68,9.93,False,False,False,False,True
14,Retention_Fixed_Amount_14,Fixed_Amount,5.74,14.53,2025-03-24,2025-04-02,9,All_Customers,Website_Banner,Retention,Unknown,0.16,26121.37,23.48,False,False,False,False,True
15,Reactivation_Percentage_Discount_15,Percentage_Discount,20.7,23.41,2024-12-14,2025-02-09,57,High_Value,Push,Reactivation,Unknown,0.236,12534.48,22.73,False,False,False,False,True
